"PRODUCT_KEY","CATEGORY_NAME","SUPPLIER_ID","UNIT_PRICE","PRICE_BAND"
1,"Cat_9",135,3987,"High"
2,"Cat_18",194,4412,"High"
3,"Cat_23",118,3548,"High"
4,"Cat_19",139,1971,"Mid"
5,"Cat_10",115,4495,"High"
6,"Cat_17",53,2634,"Mid"
7,"Cat_8",160,3028,"High"
8,"Cat_30",21,3686,"High"
9,"Cat_29",74,1844,"Mid"
10,"Cat_29",77,316,"Low"
11,"Cat_9",61,564,"Low"
12,"Cat_14",146,3422,"High"
13,"Cat_30",17,1910,"Mid"
14,"Cat_10",187,2403,"Mid"
15,"Cat_19",145,3155,"High"
16,"Cat_10",122,3332,"High"
17,"Cat_15",124,1578,"Mid"
18,"Cat_7",42,4115,"High"
19,"Cat_8",63,935,"Low"
20,"Cat_27",114,616,"Low"
21,"Cat_6",33,3951,"High"
22,"Cat_10",140,2753,"Mid"
23,"Cat_19",46,1674,"Mid"
24,"Cat_18",187,1200,"Mid"
25,"Cat_18",191,2946,"Mid"
26,"Cat_18",159,4386,"High"
27,"Cat_16",168,1145,"Mid"
28,"Cat_9",95,4567,"High"
29,"Cat_18",157,3423,"High"
30,"Cat_1",114,4207,"High"
31,"Cat_4",44,1326,"Mid"
32,"Cat_17",56,2718,"Mid"
33,"Cat_9",118,1881,"Mid"
34,"Cat_24",47,4761,"High"
35,"Cat_5",57,2971,"Mid"
36,"Cat_8",74,680,"Low"
37,"Cat_12",73,1305,"Mid"
38,"Cat_19",155,2018,"Mid"
39,"Cat_12",181,3121,"High"
40,"Cat_20",192,3067,"High"
41,"Cat_1",77,118,"Low"
42,"Cat_8",128,2564,"Mid"
43,"Cat_21",45,2293,"Mid"
44,"Cat_1",11,711,"Low"
45,"Cat_23",130,3298,"High"
46,"Cat_9",60,4651,"High"
47,"Cat_26",47,2234,"Mid"
48,"Cat_1",162,4044,"High"
49,"Cat_6",110,3609,"High"
50,"Cat_14",133,3724,"High"
51,"Cat_20",91,150,"Low"
52,"Cat_11",71,1125,"Mid"
53,"Cat_26",99,751,"Low"
54,"Cat_5",31,2887,"Mid"
55,"Cat_2",65,4910,"High"
56,"Cat_26",198,3707,"High"
57,"Cat_28",190,1617,"Mid"
58,"Cat_6",167,1577,"Mid"
59,"Cat_8",84,1415,"Mid"
60,"Cat_20",107,3539,"High"
61,"Cat_2",8,1894,"Mid"
62,"Cat_10",134,1950,"Mid"
63,"Cat_22",47,3639,"High"
64,"Cat_22",52,148,"Low"
65,"Cat_4",72,3368,"High"
66,"Cat_22",42,2834,"Mid"
67,"Cat_19",76,4948,"High"
68,"Cat_1",126,1875,"Mid"
69,"Cat_13",151,1011,"Mid"
70,"Cat_8",35,2792,"Mid"
71,"Cat_8",62,347,"Low"
72,"Cat_5",67,3632,"High"
73,"Cat_15",143,3716,"High"
74,"Cat_13",34,3001,"High"
75,"Cat_8",141,3959,"High"
76,"Cat_1",189,4134,"High"
77,"Cat_13",148,4995,"High"
78,"Cat_4",52,3020,"High"
79,"Cat_24",93,3851,"High"
80,"Cat_13",171,1348,"Mid"
81,"Cat_22",158,637,"Low"
82,"Cat_20",88,666,"Low"
83,"Cat_11",4,2740,"Mid"
