"DATE_KEY","FULL_DATE","YEAR","QUARTER","MONTH","MONTH_NAME","WEEK","DAY_OF_WEEK","IS_WEEKEND"
20200101,01-JAN-20,2020,1,1,"January",1,1,0
20200102,02-JAN-20,2020,1,1,"January",1,1,0
20200103,03-JAN-20,2020,1,1,"January",1,1,0
20200104,04-JAN-20,2020,1,1,"January",1,1,1
20200105,05-JAN-20,2020,1,1,"January",1,1,1
20200106,06-JAN-20,2020,1,1,"January",2,2,0
20200107,07-JAN-20,2020,1,1,"January",2,2,0
20200108,08-JAN-20,2020,1,1,"January",2,2,0
20200109,09-JAN-20,2020,1,1,"January",2,2,0
20200110,10-JAN-20,2020,1,1,"January",2,2,0
20200111,11-JAN-20,2020,1,1,"January",2,2,1
20200112,12-JAN-20,2020,1,1,"January",2,2,1
20200113,13-JAN-20,2020,1,1,"January",3,3,0
20200114,14-JAN-20,2020,1,1,"January",3,3,0
20200115,15-JAN-20,2020,1,1,"January",3,3,0
20200116,16-JAN-20,2020,1,1,"January",3,3,0
20200117,17-JAN-20,2020,1,1,"January",3,3,0
20200118,18-JAN-20,2020,1,1,"January",3,3,1
20200119,19-JAN-20,2020,1,1,"January",3,3,1
20200120,20-JAN-20,2020,1,1,"January",4,4,0
20200121,21-JAN-20,2020,1,1,"January",4,4,0
20200122,22-JAN-20,2020,1,1,"January",4,4,0
20200123,23-JAN-20,2020,1,1,"January",4,4,0
20200124,24-JAN-20,2020,1,1,"January",4,4,0
20200125,25-JAN-20,2020,1,1,"January",4,4,1
20200126,26-JAN-20,2020,1,1,"January",4,4,1
20200127,27-JAN-20,2020,1,1,"January",5,5,0
20200128,28-JAN-20,2020,1,1,"January",5,5,0
20200129,29-JAN-20,2020,1,1,"January",5,5,0
20200130,30-JAN-20,2020,1,1,"January",5,5,0
20200131,31-JAN-20,2020,1,1,"January",5,5,0
20200201,01-FEB-20,2020,1,2,"February",5,5,1
20200202,02-FEB-20,2020,1,2,"February",5,5,1
20200203,03-FEB-20,2020,1,2,"February",6,6,0
20200204,04-FEB-20,2020,1,2,"February",6,6,0
20200205,05-FEB-20,2020,1,2,"February",6,6,0
20200206,06-FEB-20,2020,1,2,"February",6,6,0
20200207,07-FEB-20,2020,1,2,"February",6,6,0
20200208,08-FEB-20,2020,1,2,"February",6,6,1
20200209,09-FEB-20,2020,1,2,"February",6,6,1
20200210,10-FEB-20,2020,1,2,"February",7,7,0
20200211,11-FEB-20,2020,1,2,"February",7,7,0
20200212,12-FEB-20,2020,1,2,"February",7,7,0
20200213,13-FEB-20,2020,1,2,"February",7,7,0
20200214,14-FEB-20,2020,1,2,"February",7,7,0
20200215,15-FEB-20,2020,1,2,"February",7,7,1
20200216,16-FEB-20,2020,1,2,"February",7,7,1
20200217,17-FEB-20,2020,1,2,"February",8,8,0
20200218,18-FEB-20,2020,1,2,"February",8,8,0
20200219,19-FEB-20,2020,1,2,"February",8,8,0
20200220,20-FEB-20,2020,1,2,"February",8,8,0
20200221,21-FEB-20,2020,1,2,"February",8,8,0
20200222,22-FEB-20,2020,1,2,"February",8,8,1
20200223,23-FEB-20,2020,1,2,"February",8,8,1
20200224,24-FEB-20,2020,1,2,"February",9,9,0
20200225,25-FEB-20,2020,1,2,"February",9,9,0
20200226,26-FEB-20,2020,1,2,"February",9,9,0
20200227,27-FEB-20,2020,1,2,"February",9,9,0
20200228,28-FEB-20,2020,1,2,"February",9,9,0
20200229,29-FEB-20,2020,1,2,"February",9,9,1
20200301,01-MAR-20,2020,1,3,"March",9,9,1
20200302,02-MAR-20,2020,1,3,"March",10,10,0
20200303,03-MAR-20,2020,1,3,"March",10,10,0
20200304,04-MAR-20,2020,1,3,"March",10,10,0
20200305,05-MAR-20,2020,1,3,"March",10,10,0
20200306,06-MAR-20,2020,1,3,"March",10,10,0
20200307,07-MAR-20,2020,1,3,"March",10,10,1
20200308,08-MAR-20,2020,1,3,"March",10,10,1
20200309,09-MAR-20,2020,1,3,"March",11,11,0
20200310,10-MAR-20,2020,1,3,"March",11,11,0
20200311,11-MAR-20,2020,1,3,"March",11,11,0
20200312,12-MAR-20,2020,1,3,"March",11,11,0
20200313,13-MAR-20,2020,1,3,"March",11,11,0
20200314,14-MAR-20,2020,1,3,"March",11,11,1
20200315,15-MAR-20,2020,1,3,"March",11,11,1
20200316,16-MAR-20,2020,1,3,"March",12,12,0
20200317,17-MAR-20,2020,1,3,"March",12,12,0
20200318,18-MAR-20,2020,1,3,"March",12,12,0
20200319,19-MAR-20,2020,1,3,"March",12,12,0
20200320,20-MAR-20,2020,1,3,"March",12,12,0
20200321,21-MAR-20,2020,1,3,"March",12,12,1
20200322,22-MAR-20,2020,1,3,"March",12,12,1
20200323,23-MAR-20,2020,1,3,"March",13,13,0
20200324,24-MAR-20,2020,1,3,"March",13,13,0
20200325,25-MAR-20,2020,1,3,"March",13,13,0
20200326,26-MAR-20,2020,1,3,"March",13,13,0
20200327,27-MAR-20,2020,1,3,"March",13,13,0
20200328,28-MAR-20,2020,1,3,"March",13,13,1
20200329,29-MAR-20,2020,1,3,"March",13,13,1
20200330,30-MAR-20,2020,1,3,"March",14,14,0
20200331,31-MAR-20,2020,1,3,"March",14,14,0
20200401,01-APR-20,2020,2,4,"April",14,14,0
20200402,02-APR-20,2020,2,4,"April",14,14,0
20200403,03-APR-20,2020,2,4,"April",14,14,0
20200404,04-APR-20,2020,2,4,"April",14,14,1
20200405,05-APR-20,2020,2,4,"April",14,14,1
20200406,06-APR-20,2020,2,4,"April",15,15,0
20200407,07-APR-20,2020,2,4,"April",15,15,0
20200408,08-APR-20,2020,2,4,"April",15,15,0
20200409,09-APR-20,2020,2,4,"April",15,15,0
20200410,10-APR-20,2020,2,4,"April",15,15,0
20200411,11-APR-20,2020,2,4,"April",15,15,1
20200412,12-APR-20,2020,2,4,"April",15,15,1
20200413,13-APR-20,2020,2,4,"April",16,16,0
20200414,14-APR-20,2020,2,4,"April",16,16,0
20200415,15-APR-20,2020,2,4,"April",16,16,0
20200416,16-APR-20,2020,2,4,"April",16,16,0
20200417,17-APR-20,2020,2,4,"April",16,16,0
20200418,18-APR-20,2020,2,4,"April",16,16,1
20200419,19-APR-20,2020,2,4,"April",16,16,1
20200420,20-APR-20,2020,2,4,"April",17,17,0
20200421,21-APR-20,2020,2,4,"April",17,17,0
20200422,22-APR-20,2020,2,4,"April",17,17,0
20200423,23-APR-20,2020,2,4,"April",17,17,0
20200424,24-APR-20,2020,2,4,"April",17,17,0
20200425,25-APR-20,2020,2,4,"April",17,17,1
20200426,26-APR-20,2020,2,4,"April",17,17,1
20200427,27-APR-20,2020,2,4,"April",18,18,0
20200428,28-APR-20,2020,2,4,"April",18,18,0
20200429,29-APR-20,2020,2,4,"April",18,18,0
20200430,30-APR-20,2020,2,4,"April",18,18,0
20200501,01-MAY-20,2020,2,5,"May",18,18,0
20200502,02-MAY-20,2020,2,5,"May",18,18,1
20200503,03-MAY-20,2020,2,5,"May",18,18,1
20200504,04-MAY-20,2020,2,5,"May",19,19,0
20200505,05-MAY-20,2020,2,5,"May",19,19,0
20200506,06-MAY-20,2020,2,5,"May",19,19,0
20200507,07-MAY-20,2020,2,5,"May",19,19,0
20200508,08-MAY-20,2020,2,5,"May",19,19,0
20200509,09-MAY-20,2020,2,5,"May",19,19,1
20200510,10-MAY-20,2020,2,5,"May",19,19,1
20200511,11-MAY-20,2020,2,5,"May",20,20,0
20200512,12-MAY-20,2020,2,5,"May",20,20,0
20200513,13-MAY-20,2020,2,5,"May",20,20,0
20200514,14-MAY-20,2020,2,5,"May",20,20,0
20200515,15-MAY-20,2020,2,5,"May",20,20,0
20200516,16-MAY-20,2020,2,5,"May",20,20,1
20200517,17-MAY-20,2020,2,5,"May",20,20,1
20200518,18-MAY-20,2020,2,5,"May",21,21,0
20200519,19-MAY-20,2020,2,5,"May",21,21,0
20200520,20-MAY-20,2020,2,5,"May",21,21,0
20200521,21-MAY-20,2020,2,5,"May",21,21,0
20200522,22-MAY-20,2020,2,5,"May",21,21,0
20200523,23-MAY-20,2020,2,5,"May",21,21,1
20200524,24-MAY-20,2020,2,5,"May",21,21,1
20200525,25-MAY-20,2020,2,5,"May",22,22,0
20200526,26-MAY-20,2020,2,5,"May",22,22,0
20200527,27-MAY-20,2020,2,5,"May",22,22,0
20200528,28-MAY-20,2020,2,5,"May",22,22,0
20200529,29-MAY-20,2020,2,5,"May",22,22,0
20200530,30-MAY-20,2020,2,5,"May",22,22,1
20200531,31-MAY-20,2020,2,5,"May",22,22,1
20200601,01-JUN-20,2020,2,6,"June",23,23,0
20200602,02-JUN-20,2020,2,6,"June",23,23,0
20200603,03-JUN-20,2020,2,6,"June",23,23,0
20200604,04-JUN-20,2020,2,6,"June",23,23,0
20200605,05-JUN-20,2020,2,6,"June",23,23,0
20200606,06-JUN-20,2020,2,6,"June",23,23,1
20200607,07-JUN-20,2020,2,6,"June",23,23,1
20200608,08-JUN-20,2020,2,6,"June",24,24,0
20200609,09-JUN-20,2020,2,6,"June",24,24,0
20200610,10-JUN-20,2020,2,6,"June",24,24,0
20200611,11-JUN-20,2020,2,6,"June",24,24,0
20200612,12-JUN-20,2020,2,6,"June",24,24,0
20200613,13-JUN-20,2020,2,6,"June",24,24,1
20200614,14-JUN-20,2020,2,6,"June",24,24,1
20200615,15-JUN-20,2020,2,6,"June",25,25,0
20200616,16-JUN-20,2020,2,6,"June",25,25,0
20200617,17-JUN-20,2020,2,6,"June",25,25,0
20200618,18-JUN-20,2020,2,6,"June",25,25,0
20200619,19-JUN-20,2020,2,6,"June",25,25,0
20200620,20-JUN-20,2020,2,6,"June",25,25,1
20200621,21-JUN-20,2020,2,6,"June",25,25,1
20200622,22-JUN-20,2020,2,6,"June",26,26,0
20200623,23-JUN-20,2020,2,6,"June",26,26,0
20200624,24-JUN-20,2020,2,6,"June",26,26,0
20200625,25-JUN-20,2020,2,6,"June",26,26,0
20200626,26-JUN-20,2020,2,6,"June",26,26,0
20200627,27-JUN-20,2020,2,6,"June",26,26,1
20200628,28-JUN-20,2020,2,6,"June",26,26,1
20200629,29-JUN-20,2020,2,6,"June",27,27,0
20200630,30-JUN-20,2020,2,6,"June",27,27,0
20200701,01-JUL-20,2020,3,7,"July",27,27,0
20200702,02-JUL-20,2020,3,7,"July",27,27,0
20200703,03-JUL-20,2020,3,7,"July",27,27,0
20200704,04-JUL-20,2020,3,7,"July",27,27,1
20200705,05-JUL-20,2020,3,7,"July",27,27,1
20200706,06-JUL-20,2020,3,7,"July",28,28,0
20200707,07-JUL-20,2020,3,7,"July",28,28,0
20200708,08-JUL-20,2020,3,7,"July",28,28,0
20200709,09-JUL-20,2020,3,7,"July",28,28,0
20200710,10-JUL-20,2020,3,7,"July",28,28,0
20200711,11-JUL-20,2020,3,7,"July",28,28,1
20200712,12-JUL-20,2020,3,7,"July",28,28,1
20200713,13-JUL-20,2020,3,7,"July",29,29,0
20200714,14-JUL-20,2020,3,7,"July",29,29,0
20200715,15-JUL-20,2020,3,7,"July",29,29,0
20200716,16-JUL-20,2020,3,7,"July",29,29,0
20200717,17-JUL-20,2020,3,7,"July",29,29,0
20200718,18-JUL-20,2020,3,7,"July",29,29,1
20200719,19-JUL-20,2020,3,7,"July",29,29,1
20200720,20-JUL-20,2020,3,7,"July",30,30,0
20200721,21-JUL-20,2020,3,7,"July",30,30,0
20200722,22-JUL-20,2020,3,7,"July",30,30,0
20200723,23-JUL-20,2020,3,7,"July",30,30,0
20200724,24-JUL-20,2020,3,7,"July",30,30,0
20200725,25-JUL-20,2020,3,7,"July",30,30,1
20200726,26-JUL-20,2020,3,7,"July",30,30,1
20200727,27-JUL-20,2020,3,7,"July",31,31,0
20200728,28-JUL-20,2020,3,7,"July",31,31,0
20200729,29-JUL-20,2020,3,7,"July",31,31,0
20200730,30-JUL-20,2020,3,7,"July",31,31,0
20200731,31-JUL-20,2020,3,7,"July",31,31,0
20200801,01-AUG-20,2020,3,8,"August",31,31,1
20200802,02-AUG-20,2020,3,8,"August",31,31,1
20200803,03-AUG-20,2020,3,8,"August",32,32,0
20200804,04-AUG-20,2020,3,8,"August",32,32,0
20200805,05-AUG-20,2020,3,8,"August",32,32,0
20200806,06-AUG-20,2020,3,8,"August",32,32,0
20200807,07-AUG-20,2020,3,8,"August",32,32,0
20200808,08-AUG-20,2020,3,8,"August",32,32,1
20200809,09-AUG-20,2020,3,8,"August",32,32,1
20200810,10-AUG-20,2020,3,8,"August",33,33,0
20200811,11-AUG-20,2020,3,8,"August",33,33,0
20200812,12-AUG-20,2020,3,8,"August",33,33,0
20200813,13-AUG-20,2020,3,8,"August",33,33,0
20200814,14-AUG-20,2020,3,8,"August",33,33,0
20200815,15-AUG-20,2020,3,8,"August",33,33,1
20200816,16-AUG-20,2020,3,8,"August",33,33,1
20200817,17-AUG-20,2020,3,8,"August",34,34,0
20200818,18-AUG-20,2020,3,8,"August",34,34,0
20200819,19-AUG-20,2020,3,8,"August",34,34,0
20200820,20-AUG-20,2020,3,8,"August",34,34,0
20200821,21-AUG-20,2020,3,8,"August",34,34,0
20200822,22-AUG-20,2020,3,8,"August",34,34,1
20200823,23-AUG-20,2020,3,8,"August",34,34,1
20200824,24-AUG-20,2020,3,8,"August",35,35,0
20200825,25-AUG-20,2020,3,8,"August",35,35,0
20200826,26-AUG-20,2020,3,8,"August",35,35,0
20200827,27-AUG-20,2020,3,8,"August",35,35,0
20200828,28-AUG-20,2020,3,8,"August",35,35,0
20200829,29-AUG-20,2020,3,8,"August",35,35,1
20200830,30-AUG-20,2020,3,8,"August",35,35,1
20200831,31-AUG-20,2020,3,8,"August",36,36,0
20200901,01-SEP-20,2020,3,9,"September",36,36,0
20200902,02-SEP-20,2020,3,9,"September",36,36,0
20200903,03-SEP-20,2020,3,9,"September",36,36,0
20200904,04-SEP-20,2020,3,9,"September",36,36,0
20200905,05-SEP-20,2020,3,9,"September",36,36,1
