"RETURN_ID","ORDER_ITEM_ID","PRODUCT_KEY","STORE_KEY","CUSTOMER_KEY","DATE_KEY","REFUND_AMOUNT","QTY_RETURNED","UNIT_PRICE","TOTAL_LOST","HAS_PROMOTION"
1,496351,1996,18,41219,20210225,2282,3,4592,13776,1
2,522631,45,8,10487,20221117,4637,1,929,929,1
3,481424,4410,51,15714,20221122,2421,3,1797,5391,1
4,207559,5903,15,45922,20230529,1805,4,2103,8412,1
5,265929,4329,52,21443,20201016,4907,3,4623,13869,1
6,179208,4207,44,43192,20210427,88,3,4566,13698,1
7,472887,8990,77,35851,20230101,4640,2,1714,3428,1
8,103776,7800,56,19897,20230529,3627,3,4917,14751,1
9,137189,8463,96,44872,20220203,1100,1,3623,3623,1
10,393105,9818,56,1922,20200402,2716,3,4817,14451,1
11,372056,2049,42,33438,20210206,4627,1,1846,1846,1
12,515705,7253,45,16133,20220426,3573,3,2601,7803,1
13,51668,5266,63,27130,20200711,384,2,2902,5804,1
14,111775,3844,90,3558,20211110,2401,2,500,1000,1
15,179452,1153,27,38172,20210315,2088,4,4201,16804,1
16,59971,3897,60,42449,20200312,2625,1,2100,2100,1
17,409618,4707,49,9828,20201019,2044,1,140,140,1
18,331870,8179,85,13218,20221212,4404,4,1357,5428,1
19,599855,6753,75,29233,20230312,1402,4,1300,5200,1
20,467400,4702,62,30723,20220830,3336,1,1662,1662,1
21,488808,3043,26,14587,20200716,2730,1,3889,3889,1
22,351599,4284,60,21693,20211027,1782,3,3240,9720,1
23,287231,643,66,11583,20210512,1217,3,4228,12684,1
24,573505,1386,11,28836,20210721,1211,2,3384,6768,1
25,169331,9481,73,20737,20201027,3579,4,438,1752,1
26,378680,1812,35,44803,20220404,4603,3,4933,14799,1
27,49997,5607,1,28001,20220611,884,1,4324,4324,1
28,5539,8570,12,13511,20211118,3214,2,1100,2200,1
29,536618,7161,59,49074,20230924,2648,2,951,1902,1
30,395110,2113,45,35303,20210207,2049,4,2328,9312,1
31,572002,7348,86,20960,20220222,395,2,3056,6112,1
32,555114,4906,83,23774,20200830,1136,1,374,374,1
33,10953,9843,31,27514,20230806,1134,1,886,886,1
34,221520,6076,71,38339,20230210,2385,1,3528,3528,1
35,284630,3954,66,28859,20230322,1715,3,239,717,1
36,593204,7464,70,17840,20200814,1766,1,2286,2286,1
37,5030,6770,86,14377,20210512,2148,1,4793,4793,1
38,489854,9844,75,24440,20220129,1923,4,154,616,1
39,163582,8474,32,42636,20201021,3862,1,498,498,1
40,430361,634,37,6293,20220926,887,2,2734,5468,1
41,542739,3996,3,3548,20230415,1624,1,4921,4921,1
42,370101,9933,27,15201,20210603,879,1,1258,1258,1
43,71307,2075,95,654,20230321,2107,1,3431,3431,1
44,441804,5537,20,21433,20220818,4690,1,3339,3339,1
45,563713,9555,43,25374,20210911,4751,1,4077,4077,1
46,302125,2325,11,12886,20230315,1160,1,1606,1606,1
47,540681,8665,33,35114,20210930,1400,4,4491,17964,1
48,501545,5815,99,36255,20221109,3619,4,1571,6284,1
49,320140,2333,49,7212,20200208,3167,3,2082,6246,1
50,521225,6173,30,30850,20210725,4688,1,4451,4451,1
51,322025,1738,37,45102,20220712,528,1,1866,1866,1
52,289012,3272,9,29725,20210206,2565,4,4597,18388,1
53,349814,8114,54,19665,20211205,3158,2,2603,5206,1
54,176607,3334,69,13440,20220628,3683,3,1661,4983,1
55,283971,4115,93,9142,20220305,4554,1,3310,3310,1
56,531663,59,41,44629,20210512,4560,1,4275,4275,1
57,589850,7087,4,27606,20200605,483,4,1589,6356,1
58,515013,261,92,16411,20230216,3798,2,1827,3654,1
59,107670,5570,30,5877,20230715,3968,4,552,2208,1
60,27618,6260,64,33231,20230812,3405,1,4622,4622,1
61,318765,1889,68,3609,20200120,421,3,4335,13005,1
62,360327,2876,91,39764,20230611,4288,2,4030,8060,1
63,234617,9390,14,18063,20210308,275,2,3867,7734,1
64,283943,3318,21,23619,20230806,2369,4,1857,7428,1
65,345159,6780,49,33482,20230408,4232,2,1694,3388,1
66,422728,5614,58,38270,20230511,2427,3,979,2937,1
67,589814,2493,47,12958,20201112,3280,1,3451,3451,1
68,99669,5127,11,46723,20200828,3705,3,2374,7122,1
69,255605,3812,35,6613,20210717,1817,4,986,3944,1
70,391318,5326,75,43686,20221002,2264,1,1156,1156,1
71,22302,5167,5,17613,20230718,623,2,2639,5278,1
72,222043,1588,7,26602,20220211,3984,1,1071,1071,1
73,504859,7819,42,9814,20210126,2441,2,1185,2370,1
74,199241,3274,77,2177,20220418,1398,1,4126,4126,1
75,582182,9283,9,29725,20210206,2233,4,1341,5364,1
76,502279,9451,77,17405,20230928,2200,1,3943,3943,1
77,280718,1370,38,18529,20201027,2301,4,2999,11996,1
78,261327,1046,81,38975,20230106,2941,3,2797,8391,1
79,229554,4129,3,46069,20231113,4009,3,3386,10158,1
80,286139,7923,90,29287,20220414,3908,2,203,406,1
81,54819,4542,64,42065,20211207,2639,1,4747,4747,1
82,323179,2005,62,30135,20210410,3392,1,2578,2578,1
83,279355,2128,42,14195,20220830,3578,1,3594,3594,1
84,255232,1571,21,41386,20220423,886,1,213,213,1
85,220850,3745,100,33389,20230924,4591,2,613,1226,1
86,536344,4312,66,42329,20230626,4622,4,1082,4328,1
87,300473,7397,36,10002,20210724,947,2,2105,4210,1
88,363365,2964,8,34311,20220125,1504,4,2497,9988,1
89,340589,9902,81,36185,20220108,1501,3,1573,4719,1
90,116034,638,54,2696,20201027,4296,4,4269,17076,1
91,161945,7022,79,9390,20200718,3488,1,123,123,1
92,490789,1034,100,29760,20200806,3725,1,1026,1026,1
93,545358,519,41,3188,20200531,2219,4,2929,11716,1
94,365522,627,2,12421,20221219,1710,3,2299,6897,1
95,185664,9113,92,25881,20220608,917,3,569,1707,1
96,270062,4099,28,4183,20220630,3276,1,458,458,1
97,336978,5541,68,15681,20230401,1998,4,4265,17060,1
98,81934,7805,45,8938,20200320,1223,1,202,202,1
99,571959,6540,68,45276,20210528,2997,1,3280,3280,1
100,445300,97,55,19735,20230217,365,2,689,1378,1
101,254612,2844,29,31209,20230822,1282,3,2953,8859,1
102,319703,5370,18,5040,20210617,2259,2,477,954,1
103,86006,5466,77,20961,20230903,2217,4,4178,16712,1
104,413167,528,94,22352,20220121,3277,2,2123,4246,1
105,598088,3767,1,35330,20220907,3408,2,3745,7490,1
106,84455,934,54,6971,20211003,4603,1,3320,3320,1
107,309965,645,74,3366,20220129,527,2,4127,8254,1
108,185676,6415,5,19334,20200704,4049,2,342,684,1
109,471891,1255,100,41674,20230815,828,1,4022,4022,1
110,82695,1721,69,45722,20220122,1428,4,1908,7632,1
111,444726,6731,8,6891,20200416,4712,4,4362,17448,1
112,50603,6335,82,6710,20210903,4151,4,4970,19880,1
113,11233,1429,46,25250,20201129,83,3,4189,12567,1
114,160320,8566,29,3337,20210223,4233,2,3557,7114,1
115,236910,7628,63,9600,20200121,1355,1,1250,1250,1
116,383691,3791,26,26543,20230603,3755,1,4789,4789,1
117,331706,6467,16,35524,20221027,3223,3,2584,7752,1
118,216686,5531,63,32229,20230309,2420,4,3917,15668,1
119,422910,3507,96,13942,20200809,2006,4,4819,19276,1
120,21536,1048,62,5566,20221014,2816,2,1801,3602,1
121,302516,5439,100,13186,20230506,2277,4,2123,8492,1
122,450649,6500,54,34151,20211014,4121,4,2011,8044,1
123,55382,495,1,14195,20200917,57,4,4729,18916,1
124,251329,4835,26,34427,20201014,1439,3,2571,7713,1
125,571570,6987,32,13127,20201019,2182,4,419,1676,1
126,464978,2625,52,21477,20231002,4147,2,3384,6768,1
127,47285,2956,93,9649,20210709,2157,4,4604,18416,1
128,112233,2377,76,21996,20220423,2616,2,1311,2622,1
129,367762,3328,26,31692,20230606,2102,2,3750,7500,1
130,496371,5240,34,21168,20220228,3223,4,2881,11524,1
131,317650,9573,40,9970,20200611,1987,2,4232,8464,1
132,256944,3296,24,27683,20230612,4666,3,761,2283,1
133,508851,2300,74,9617,20211031,3788,3,2469,7407,1
134,2992,6055,35,27300,20200625,2943,1,2932,2932,1
135,394162,3240,71,18990,20220317,252,2,4807,9614,1
